dataset,method,IBS_HM,mse,Max_brier,mae,mdape,fit_time,inference_time,r2,Max_brier_HM,IBS,mape,rmse,mean_roc,c_index,c_index_mean,mdape_t05,mdape_tE,mdape_tPDF
SCANIA,GradientBoosting,,4034.353431997002,0.168191277485883,49.15432746346946,0.3684210526315789,383.9972138404846,3.103769302368164,0.4398722457246988,,0.0716526342380124,1.424640476909204,63.5165602972721,0.83658162881803,0.7405081052632045,0.7280957657261895,0.3687944657669484,0.3680841838995456,0.4820345611954117
SCANIA,DeepHit,,4822.778023604345,0.1974669718713793,53.13790745597603,0.3854166666666667,233.0448203086853,1.2316513061523438,0.3304077420919963,,0.083150486625641,1.6145743279612832,69.44622396937321,0.1956744669587015,,0.6836061976577664,0.4495643715982699,0.4310734085977837,0.9029850746268656
SCANIA,CoxPH,,4798.711142750092,0.1793529259587775,52.9939115773698,0.38586249971738,110.2186839580536,4.455404043197632,0.3337491766372168,,0.0773656011376273,1.4474201182771895,69.27273015227631,0.1861950414138116,,0.6947557423049296,0.3803151715363495,0.3759501356826235,0.474472807991121
SCANIA,RSF,,4324.3280966654165,0.1715099035251164,49.94145747470963,0.3820876497905368,1775.3611459732056,6.683597803115845,0.3996122981382394,,0.076493122439235,1.3098721299438791,65.75962360495546,0.1890555811900467,,0.6277150983412558,0.3809789837722799,0.3879548067096999,0.5651034103842079
SCANIA,RDSM,,4212.722596478082,0.1717324337656512,50.34008992131884,0.388503104895998,91.36620616912842,245.61409950256348,0.4151075538808082,,0.0732134083634707,1.4106479762203312,64.90548972527733,0.1637613181933549,,0.7162484277503631,0.3662670865240106,0.3555376285730182,0.4679169265959659
PBC,sktimeCNN,0.2511580139450199,1562.0892925504145,0.3705390238054911,32.52429633019816,0.4979249034602236,10.144899129867554,3.805176258087158,-0.0330188320755655,0.3826086956521739,0.2414977763729813,1.033606273824008,39.52327532670356,0.6584797304815178,0.6657093624353819,,,,
PBC,sktimeFCN,0.2340442776568822,1382.323075113932,0.3703640185413602,30.35265751428524,0.4477677107214148,16.084413766860962,4.759583473205566,0.0858616242904612,0.391304347826087,0.2248963100259284,1.0610414557563683,37.17960563419053,0.6636358114628375,0.6913268236645606,,,,
PBC,sktimeLSTMFCN,0.2348081449571441,1372.4534442466745,0.3830639006600415,30.53191271370261,0.454977961531016,8.081812381744385,2.6962363719940186,0.0923884692026781,0.4,0.2258024052363008,0.7269462051754725,37.04663877123908,0.7360526624117407,0.7419873635841471,,,,
PBC,TABPFNv2,0.2118199582537645,1149.2787206148964,0.3941124709813439,27.36453036422455,0.3328877967932322,0.1933522224426269,2.1858880519866943,0.2399752258972837,0.4260869565217391,0.203136101284425,1.4178613912072917,33.901013563238735,0.675252904481267,0.5947156806433085,,,,
PBC,sktimeResNet,0.2042034906959192,1037.1136357434098,0.3124224375985049,26.55114859230753,0.4092123444223591,29.81784462928772,7.659328937530518,0.3141506558974611,0.3478260869565217,0.1949267142467145,0.6296870982591942,32.20424872192192,0.7816921626224683,0.7595634692705342,,,,
